qty,product_sku,product_id,product_name,product_url,product_price_value
1,DIP-4P,17006,Switch deslizable (Dip Switch) de 4 posiciones,https://www.steren.com.mx/switch-deslizable-dip-switch-de-4-posiciones.html,9
1,VL-15P,19197,"Micro interruptor (Switch) con palanca de lámina, de 15 Amperes y 125 Vca",https://www.steren.com.mx/micro-interruptor-switch-con-palanca-de-lamina-de-15-amperes-y-125-vca.html,29
1,BTS-19,16560,"Switch de balancín, de 1 polo, 1 tiro, 2 posiciones (ON-OFF), con piloto, 125/250 Vca",https://www.steren.com.mx/switch-de-balancin-de-1-polo-1-tiro-2-posiciones-on-off-con-piloto-125-250-vca.html,15
1,AU-108,20676,Switch de retención con contacto NC/NA e iluminación verde,https://www.steren.com.mx/switch-de-retencion-con-contacto-nc-na-e-iluminacion-verde.html,199
1,SS0501A,18727,Micro switch con palanca de lamina,https://www.steren.com.mx/micro-switch-con-palanca-de-lamina.html,24
1,509-030,15976,"Protoboard con bornes de alimentación, 2 bloques y 4 tiras",https://www.steren.com.mx/protoboard-con-bornes-de-alimentacion-2-bloques-y-4-tiras.html,395
1,509-010,15974,"Protoboard de ensamble a presión, 1 bloque y 2 tiras",https://www.steren.com.mx/protoboard-de-ensamble-a-presion-1-bloque-y-2-tiras.html,120
1,ARD-376,20291,Sensor de color para Arduino y microcontroladores,https://www.steren.com.mx/sensor-de-color-para-arduino-y-microcontroladores.html,220
1,ARD-369,20304,Joystick Shield para Arduino y microcontroladores,https://www.steren.com.mx/joystick-shield-para-arduino-y-microcontroladores.html,180
1,ARD-375,20308,Módulo reproductor MP3 para Arduino y microcontroladores,https://www.steren.com.mx/modulo-reproductor-mp3-para-arduino-y-microcontroladores.html,395
1,ARD-341,19544,Tarjeta para control de motores CC (L298N),https://www.steren.com.mx/tarjeta-para-control-de-motores-cc-l298n.html,140
